fecha_consulta,periodo,importacion_tablero,importacion_pct,hidroelectrica_tablero,hidroelectrica_pct,termica_tablero,termica_pct,renovable_tablero,renovable_pct,exportacion_tablero,exportacion_pct,generacion_bruta_tablero,unidad_declarada,paute_tablero,sopladora_tablero,mazar_tablero
2026-08-16T12:52:05+00:00,dia,54.409,0.18,23005.072,74.15,7850.54,25.31,113.202,0.36,48.44,0.16,31023.223,según tablero CENACE (magnitud por validar contra informes oficiales),3734.0,2208.0,472.0
2026-08-16T12:52:05+00:00,mes,487.52,0.44,87364.327,78.42,21060.46,18.9,2496.245,2.24,121.75,0.11,111408.553,según tablero CENACE (magnitud por validar contra informes oficiales),22660.0,11001.0,2827.0
2026-08-16T12:52:05+00:00,anio,25291.82,1.7,1122911.02,75.5,302427.165,20.33,36683.835,2.47,1462.02,0.1,1487313.84,según tablero CENACE (magnitud por validar contra informes oficiales),219377.0,114685.0,34067.0
2026-08-17T12:57:02+00:00,dia,40.516,0.13,21715.181,71.96,8289.613,27.47,130.308,0.43,44.631,0.15,30175.619,según tablero CENACE (magnitud por validar contra informes oficiales),3093.0,1796.0,97.0
2026-08-17T12:57:02+00:00,mes,386.04,0.36,82207.442,77.71,20918.36,19.77,2279.37,2.15,138.82,0.13,105791.212,según tablero CENACE (magnitud por validar contra informes oficiales),19581.0,10408.0,2888.0
2026-08-17T12:57:02+00:00,anio,25677.86,1.61,1205118.463,75.65,323345.525,20.3,38963.205,2.45,1600.84,0.1,1593105.052,según tablero CENACE (magnitud por validar contra informes oficiales),238958.0,125093.0,36955.0
2026-08-18T12:58:22+00:00,mes,112.56,0.12,73423.877,75.64,21427.378,22.07,2109.145,2.17,114.06,0.12,97072.96,según tablero CENACE (magnitud por validar contra informes oficiales),11936.0,6884.0,1820.0
2026-08-18T12:58:22+00:00,anio,25790.42,1.53,1278594.828,75.65,344772.903,20.4,41072.35,2.43,1714.9,0.1,1690230.5,según tablero CENACE (magnitud por validar contra informes oficiales),250895.0,131977.0,38775.0
2026-08-18T12:58:22+00:00,dia,42.037,0.13,22943.393,73.3,8155.125,26.05,159.573,0.51,42.985,0.14,31300.128,según tablero CENACE (magnitud por validar contra informes oficiales),3835.0,2312.0,98.0
2026-08-19T12:59:15+00:00,mes,103.14,0.1,81892.057,77.0,22386.412,21.05,1973.862,1.86,80.63,0.08,106355.472,según tablero CENACE (magnitud por validar contra informes oficiales),15543.0,8980.0,2015.0
2026-08-19T12:59:15+00:00,anio,25893.56,1.44,1360486.885,75.73,367159.315,20.44,43046.212,2.4,1795.53,0.1,1796585.972,según tablero CENACE (magnitud por validar contra informes oficiales),266438.0,140957.0,40791.0
2026-08-19T12:59:15+00:00,dia,23.872,0.07,23937.314,73.7,8274.259,25.48,243.196,0.75,46.443,0.14,32478.642,según tablero CENACE (magnitud por validar contra informes oficiales),4509.0,2545.0,1050.0
2026-08-20T13:01:54+00:00,mes,445.69,0.41,84711.395,77.29,22274.94,20.32,2172.697,1.98,178.87,0.16,109604.723,según tablero CENACE (magnitud por validar contra informes oficiales),17444.0,9642.0,2613.0
2026-08-20T13:01:54+00:00,dia,35.943,0.1,25098.411,72.76,8734.093,25.32,626.008,1.81,23.093,0.07,34494.454,según tablero CENACE (magnitud por validar contra informes oficiales),4746.0,2804.0,707.0
2026-08-20T13:01:54+00:00,anio,26339.25,1.38,1445198.28,75.82,389434.255,20.43,45218.91,2.37,1974.4,0.1,1906190.695,según tablero CENACE (magnitud por validar contra informes oficiales),283882.0,150599.0,43404.0
2026-08-21T13:01:04+00:00,mes,1364.06,1.23,85191.982,76.54,21842.747,19.62,2906.31,2.61,65.75,0.06,111305.1,según tablero CENACE (magnitud por validar contra informes oficiales),19900.0,9959.0,3664.0
2026-08-21T13:01:04+00:00,anio,27703.31,1.37,1530390.262,75.86,411277.003,20.39,48125.22,2.39,2040.15,0.1,2017495.795,según tablero CENACE (magnitud por validar contra informes oficiales),303782.0,160557.0,47068.0
2026-08-21T13:01:04+00:00,dia,2258.203,6.52,23120.381,66.73,8684.989,25.07,583.936,1.69,0.0,0.0,34647.509,según tablero CENACE (magnitud por validar contra informes oficiales),2748.0,1551.0,945.0
2026-08-22T12:52:08+00:00,mes,1325.96,1.19,84702.44,76.02,21904.893,19.66,3488.108,3.13,102.69,0.09,111421.4,según tablero CENACE (magnitud por validar contra informes oficiales),18520.0,9823.0,3077.0
2026-08-22T12:52:08+00:00,dia,27.728,0.08,25154.438,76.87,7218.847,22.06,324.455,0.99,81.352,0.25,32725.469,según tablero CENACE (magnitud por validar contra informes oficiales),4666.0,2650.0,740.0
2026-08-22T12:52:08+00:00,anio,29029.27,1.36,1615092.702,75.86,433181.895,20.35,51613.327,2.42,2142.84,0.1,2128917.195,según tablero CENACE (magnitud por validar contra informes oficiales),322301.0,170380.0,50145.0
2026-08-23T12:53:13+00:00,anio,29029.27,1.36,1615092.702,75.86,433181.895,20.35,51613.327,2.42,2142.84,0.1,2128917.195,según tablero CENACE (magnitud por validar contra informes oficiales),322301.0,170380.0,50145.0
2026-08-23T12:53:13+00:00,dia,1169.929,3.91,20470.054,68.45,8052.867,26.93,211.903,0.71,0.0,0.0,29904.754,según tablero CENACE (magnitud por validar contra informes oficiales),3452.0,2060.0,
2026-08-23T12:53:13+00:00,mes,1325.96,1.19,84702.44,76.02,21904.893,19.66,3488.108,3.13,102.69,0.09,111421.4,según tablero CENACE (magnitud por validar contra informes oficiales),18520.0,9823.0,3077.0
2026-08-24T13:03:42+00:00,anio,29029.27,1.36,1615092.702,75.86,433181.895,20.35,51613.327,2.42,2142.84,0.1,2128917.195,según tablero CENACE (magnitud por validar contra informes oficiales),322301.0,170380.0,50145.0
2026-08-24T13:03:42+00:00,dia,2547.695,7.96,20914.477,65.38,8281.021,25.89,244.238,0.76,0.0,0.0,31987.432,según tablero CENACE (magnitud por validar contra informes oficiales),1878.0,1135.0,221.0
2026-08-24T13:03:42+00:00,mes,1325.96,1.19,84702.44,76.02,21904.893,19.66,3488.108,3.13,102.69,0.09,111421.4,según tablero CENACE (magnitud por validar contra informes oficiales),18520.0,9823.0,3077.0
2026-08-25T12:59:37+00:00,mes,1411.86,1.37,79431.435,76.98,19553.69,18.95,2785.597,2.7,118.93,0.12,103182.583,según tablero CENACE (magnitud por validar contra informes oficiales),15511.0,8694.0,1817.0
2026-08-25T12:59:37+00:00,dia,2888.785,8.8,22176.703,67.57,7568.96,23.06,184.582,0.56,0.0,0.0,32819.03,según tablero CENACE (magnitud por validar contra informes oficiales),2506.0,1467.0,568.0
2026-08-25T12:59:37+00:00,anio,33072.34,1.41,1778379.357,75.91,473736.638,20.22,57569.002,2.46,2301.54,0.1,2342757.337,según tablero CENACE (magnitud por validar contra informes oficiales),353808.0,187538.0,55214.0
2026-08-26T13:05:14+00:00,anio,44026.19,1.73,1924553.092,75.57,515347.037,20.24,62745.777,2.46,2301.54,0.09,2546672.097,según tablero CENACE (magnitud por validar contra informes oficiales),376901.0,200800.0,59343.0
2026-08-26T13:05:14+00:00,dia,2904.708,8.4,23200.882,67.07,8089.515,23.38,398.331,1.15,0.0,0.0,34593.436,según tablero CENACE (magnitud por validar contra informes oficiales),2790.0,1587.0,260.0
2026-08-26T13:05:14+00:00,mes,7283.41,6.67,79194.18,72.57,20223.243,18.53,2433.993,2.23,0.0,0.0,109134.825,según tablero CENACE (magnitud por validar contra informes oficiales),13186.0,7592.0,2667.0
2026-08-27T22:08:40+00:00,anio,59985.85,2.17,2085305.18,75.31,555575.647,20.07,67917.425,2.45,2301.54,0.08,2768784.103,según tablero CENACE (magnitud por validar contra informes oficiales),404007.0,216239.0,64120.0
2026-08-27T22:08:40+00:00,mes,8312.79,7.46,80189.5,71.92,20268.088,18.18,2729.53,2.45,0.0,0.0,111499.908,según tablero CENACE (magnitud por validar contra informes oficiales),13660.0,7796.0,2338.0
2026-08-27T22:08:40+00:00,dia,6397.67,7.97,56905.599,70.86,16179.405,20.15,829.355,1.03,0.0,0.0,80312.029,según tablero CENACE (magnitud por validar contra informes oficiales),10322.0,6127.0,1206.0
2026-08-28T22:08:01+00:00,dia,6456.054,7.98,57844.482,71.5,15839.664,19.58,760.13,0.94,0.0,0.0,80900.33,según tablero CENACE (magnitud por validar contra informes oficiales),10944.0,6267.0,1593.0
2026-08-28T22:08:01+00:00,mes,8398.27,7.51,80713.082,72.15,19976.785,17.86,2779.453,2.48,0.0,0.0,111867.59,según tablero CENACE (magnitud por validar contra informes oficiales),15008.0,8772.0,1956.0
2026-08-28T22:08:01+00:00,anio,68384.12,2.37,2166018.262,75.19,575552.432,19.98,70696.878,2.45,2301.54,0.08,2880651.692,según tablero CENACE (magnitud por validar contra informes oficiales),419016.0,225011.0,66076.0
2026-08-29T16:36:05+00:00,mes,8398.27,7.51,80713.082,72.15,19976.785,17.86,2779.453,2.48,0.0,0.0,111867.59,según tablero CENACE (magnitud por validar contra informes oficiales),15008.0,8772.0,1956.0
2026-08-29T16:36:05+00:00,dia,3562.202,7.2,34660.54,70.01,11125.102,22.47,157.939,0.32,0.0,0.0,49505.782,según tablero CENACE (magnitud por validar contra informes oficiales),4376.0,2554.0,833.0
2026-08-29T16:36:05+00:00,anio,68384.12,2.37,2166018.262,75.19,575552.432,19.98,70696.878,2.45,2301.54,0.08,2880651.692,según tablero CENACE (magnitud por validar contra informes oficiales),419016.0,225011.0,66076.0
2026-08-30T16:31:22+00:00,mes,8398.27,7.51,80713.082,72.15,19976.785,17.86,2779.453,2.48,0.0,0.0,111867.59,según tablero CENACE (magnitud por validar contra informes oficiales),15008.0,8772.0,1956.0
